"Maincategorie";"Subcategorie1";"Subcategorie2";"Subcategorie3";"Brandname";"Productname";"Product";"Reference Code";"Size1";"Size2";"Mainimage";"Image1";"Image2";"Image3";"Image4";"Image5";"Image6";"Gender";"Wholesale Price";"Picturelink";"Avaiability";"Stock";"EAN";"Color";"Article Number";"Father";"New";"Official Retail Price";"Material";"White Picture";"TitleSize";"TitleColor";"ProductNameWithSize";"ProductIsReduced";"Parent";"Produkt ID";"UVP"
"111111";"Jogginghosen";"";"";"Dangerous DNGRS";"Dangerous DNGRS Frauen Jogginghose Soft Dream Leila Ladys Logo in grau";"Dangerous DNGRS Frauen Jogginghose Soft Dream Leila Ladys Logo in grau";"DGSP3020HGRY";"XXS,XS,S,M";"";"https://cdn.def-shop.com/images/product_images/original_images/1/27031_0.jpg";"https://cdn.def-shop.com/images/product_images/original_images/1/27031_1.jpg";"";"";"";"";"";"Womens";"12.39";"https://cdn.def-shop.com/images/product_images/original_images/white/1/27031_0.jpg";"250";"0";"4056189262926";"grau";"2249014";"Soft Dream Leila Ladys Logo";"false";"24.99";"Material : 80% Baumwolle, 20% Polyester";"https://cdn.def-shop.com/images/product_images/original_images/white/1/27031_0.jpg";"Size";"Farbe";"Dangerous DNGRS Frauen Jogginghose Soft Dream Leila Ladys Logo in grau 2XL";"false";"parent";"27031";"0.00"
"22222";"Jogginghosen";"";"";"Dangerous DNGRS";"Dangerous DNGRS Frauen Jogginghose Soft Dream Leila Ladys Logo in grau";"Dangerous DNGRS Frauen Jogginghose Soft Dream Leila Ladys Logo in grau";"DGSP3020HGRY";"XXS,XS,S,M";"XXS";"https://cdn.def-shop.com/images/product_images/original_images/1/27031_0.jpg";"https://cdn.def-shop.com/images/product_images/original_images/1/27031_1.jpg";"";"";"";"";"";"Womens";"12.39";"https://cdn.def-shop.com/images/product_images/original_images/white/1/27031_0.jpg";"250";"11";"2002703105752";"grau";"384986";"Soft Dream Leila Ladys Logo";"false";"24.99";"Material : 80% Baumwolle, 20% Polyester";"https://cdn.def-shop.com/images/product_images/original_images/white/1/27031_0.jpg";"Size";"Farbe";"Dangerous DNGRS Frauen Jogginghose Soft Dream Leila Ladys Logo in grau XXS";"false";"child";"27031";"0.00"
